chr,source,transcript,start,end,strand,gene
1,.,gene,38511063,38519867,+,TOC.1T.00244
1,.,gene,38520337,38660070,+,TOC.1T.00245
1,.,gene,38660753,38700058,+,TOC.1T.00246
1,.,gene,38725031,38754347,+,TOC.1T.00247
1,.,gene,38799626,38810138,+,TOC.1T.00248
1,.,gene,38841109,38850880,+,TOC.1T.00249
1,EVM,gene,38872682,38873020,-,TOC.1T.00250
1,EVM,gene,38880531,38881145,-,TOC.1T.00251
1,EVM,gene,38919207,38919426,-,TOC.1T.00252
1,EVM,gene,38920268,38920435,-,TOC.1T.00253
1,EVM,gene,38942290,38942490,-,TOC.1T.00254
1,EVM,gene,38942576,38950263,-,TOC.1T.00255
1,EVM,gene,38951804,38952007,-,TOC.1T.00256
1,.,gene,39006616,39008018,-,TOC.1T.00257
1,.,gene,39031802,39032966,+,TOC.1T.00258
1,EVM,gene,39067489,39177323,+,TOC.1T.00259
1,EVM,gene,39185307,39185744,+,TOC.1T.00260
1,EVM,gene,39189758,39191495,+,TOC.1T.00261
1,.,gene,39254000,39397204,+,TOC.1T.00262
1,.,gene,39418181,39484647,-,TOC.1T.00263
1,.,gene,39559446,39562059,-,TOC.1T.00264
1,EVM,gene,39597637,39606007,+,TOC.1T.00265
1,EVM,gene,39608649,39608960,+,TOC.1T.00266
1,.,gene,39623473,39829233,+,TOC.1T.00267
1,.,gene,39897352,40028904,-,TOC.1T.00268
1,.,gene,40175138,40334414,-,TOC.1T.00269
1,EVM,gene,42524909,42525391,-,TOC.1T.00270
1,EVM,gene,43452113,43452522,+,TOC.1T.00271
1,EVM,gene,43452553,43452918,+,TOC.1T.00272
1,EVM,gene,43485193,43486158,-,TOC.1T.00273
1,EVM,gene,43531012,43531758,+,TOC.1T.00274
1,.,gene,43644777,43677279,-,TOC.1T.00275
1,EVM,gene,43718360,43750931,-,TOC.1T.00276
1,EVM,gene,43782391,43782711,+,TOC.1T.00277
1,.,gene,43792085,43820801,-,TOC.1T.00278
1,.,gene,43991474,43992954,+,TOC.1T.00279
1,EVM,gene,44028635,44030237,+,TOC.1T.00280
1,.,gene,44043330,44044923,-,TOC.1T.00281
1,.,gene,44133769,44151804,-,TOC.1T.00282
1,.,gene,44182349,44251960,-,TOC.1T.00283
1,.,gene,44425003,44432219,-,TOC.1T.00284
1,EVM,gene,44470500,44475699,-,TOC.1T.00285
1,EVM,gene,44480136,44480548,-,TOC.1T.00286
1,.,gene,44614624,44654473,-,TOC.1T.00287
1,EVM,gene,44890052,44921625,-,TOC.1T.00288
1,.,gene,45012767,45013596,-,TOC.1T.00289
1,.,gene,45073946,45192786,+,TOC.1T.00290
1,.,gene,45260504,45314934,+,TOC.1T.00291
1,.,gene,45414948,45561014,+,TOC.1T.00292
1,.,gene,45851501,45891865,-,TOC.1T.00293
1,.,gene,46084364,46108332,-,TOC.1T.00294
1,.,gene,46237698,46239419,-,TOC.1T.00295
1,.,gene,46957158,47036642,-,TOC.1T.00296
1,.,gene,47156057,47206520,-,TOC.1T.00297
1,.,gene,47281188,47315155,-,TOC.1T.00298
1,.,gene,47351257,47632220,-,TOC.1T.00299
1,.,gene,47635805,47640542,-,TOC.1T.00300
1,EVM,gene,47926987,48049678,-,TOC.1T.00301
1,EVM,gene,48353548,48355497,-,TOC.1T.00302
1,EVM,gene,48518399,48518570,-,TOC.1T.00303
1,EVM,gene,48837646,48837942,+,TOC.1T.00304
1,EVM,gene,48837965,48839413,+,TOC.1T.00305
1,.,gene,49156975,49159470,+,TOC.1T.00306
1,EVM,gene,49159675,49159853,+,TOC.1T.00307
1,.,gene,49236647,49256782,-,TOC.1T.00308
1,EVM,gene,49553099,49717875,+,TOC.1T.00309
1,.,gene,49810991,49900393,-,TOC.1T.00310
1,.,gene,49924242,49951582,-,TOC.1T.00311
1,.,gene,49966227,49987233,-,TOC.1T.00312
1,EVM,gene,50094806,50095195,+,TOC.1T.00313
1,EVM,gene,51177081,51177708,+,TOC.1T.00314
1,.,gene,51472295,51686086,-,TOC.1T.00315
1,.,gene,51762595,51792352,-,TOC.1T.00316
1,EVM,gene,51792541,51795379,+,TOC.1T.00317
1,EVM,gene,51795571,51798295,+,TOC.1T.00318
1,.,gene,51821728,51880935,+,TOC.1T.00319
1,.,gene,51880575,51940744,-,TOC.1T.00320
1,EVM,gene,52051141,52051450,+,TOC.1T.00321
1,.,gene,52147886,52181795,+,TOC.1T.00322
1,.,gene,52200882,52253110,-,TOC.1T.00323
1,EVM,gene,52421358,52421741,-,TOC.1T.00324
1,EVM,gene,52432639,52433007,-,TOC.1T.00325
1,EVM,gene,52446232,52446699,-,TOC.1T.00326
1,EVM,gene,52449521,52449835,-,TOC.1T.00327
1,EVM,gene,52453382,52453891,-,TOC.1T.00328
1,.,gene,52489761,52523652,-,TOC.1T.00329
1,.,gene,52523902,52526327,+,TOC.1T.00330
1,.,gene,52587231,52622803,-,TOC.1T.00331
1,.,gene,52662565,52693426,+,TOC.1T.00332
1,EVM,gene,52699038,52788869,-,TOC.1T.00333
1,.,gene,52724321,52835403,-,TOC.1T.00334
1,EVM,gene,52896597,52897091,+,TOC.1T.00335
1,EVM,gene,52900291,52900737,+,TOC.1T.00336
1,EVM,gene,52909566,52909997,+,TOC.1T.00337
1,.,gene,52967120,53026352,+,TOC.1T.00338
1,.,gene,53060790,53184880,+,TOC.1T.00339
1,.,gene,53185510,53200003,-,TOC.1T.00340
1,EVM,gene,53232734,53242329,+,TOC.1T.00341
1,EVM,gene,53245528,53260399,+,TOC.1T.00342
1,EVM,gene,53268091,53268417,-,TOC.1T.00343
1,EVM,gene,53268922,53508342,-,TOC.1T.00344
1,EVM,gene,53593636,53595856,+,TOC.1T.00345
1,.,gene,53684699,53697828,+,TOC.1T.00346
1,EVM,gene,53936735,53937043,-,TOC.1T.00347
1,EVM,gene,54160550,54160960,+,TOC.1T.00348
1,EVM,gene,54272611,54552890,+,TOC.1T.00349
1,.,gene,54626141,54627825,-,TOC.1T.00350
1,EVM,gene,54639405,54639737,+,TOC.1T.00351
1,EVM,gene,54657003,54657437,-,TOC.1T.00352
1,.,gene,54840566,54841654,-,TOC.1T.00353
1,EVM,gene,54986323,54986649,+,TOC.1T.00354
1,EVM,gene,55052535,55053478,+,TOC.1T.00355
1,EVM,gene,55053539,55054318,-,TOC.1T.00356
1,EVM,gene,55206276,55656112,+,TOC.1T.00357
1,EVM,gene,55659926,55660279,+,TOC.1T.00358
1,EVM,gene,55684135,55726344,+,TOC.1T.00359
1,EVM,gene,55865428,55870378,+,TOC.1T.00360
1,.,gene,55879820,55892889,+,TOC.1T.00361
1,EVM,gene,55922929,55923189,-,TOC.1T.00362
1,EVM,gene,55930670,55934721,+,TOC.1T.00363
1,EVM,gene,56159408,56186700,-,TOC.1T.00364
1,EVM,gene,56190566,56195901,-,TOC.1T.00365
1,.,gene,56195896,56197735,+,TOC.1T.00366
1,EVM,gene,56208017,56208625,-,TOC.1T.00367
1,EVM,gene,56211537,56212043,-,TOC.1T.00368
1,EVM,gene,56216202,56230180,-,TOC.1T.00369
1,.,gene,56232415,56234880,+,TOC.1T.00370
1,EVM,gene,56358507,56410119,-,TOC.1T.00371
1,EVM,gene,56515780,56585878,-,TOC.1T.00372
1,EVM,gene,56737080,56737409,-,TOC.1T.00373
1,EVM,gene,56829540,56835465,-,TOC.1T.00374
1,EVM,gene,56840250,56876857,-,TOC.1T.00375
1,EVM,gene,56915155,56929935,-,TOC.1T.00376
1,EVM,gene,56930966,56932016,+,TOC.1T.00377
1,EVM,gene,56932118,56932519,+,TOC.1T.00378
1,EVM,gene,56941216,57105371,-,TOC.1T.00379
1,EVM,gene,57685277,57808230,-,TOC.1T.00380
1,.,gene,58667595,58687024,-,TOC.1T.00381
1,EVM,gene,58767083,58834377,-,TOC.1T.00382
1,EVM,gene,58885489,58885720,-,TOC.1T.00383
1,EVM,gene,59102408,59102971,+,TOC.1T.00384
1,.,gene,59120913,59145303,-,TOC.1T.00385
1,EVM,gene,59147000,59147317,-,TOC.1T.00386
1,EVM,gene,59169428,59393558,-,TOC.1T.00387
1,.,gene,59551174,59594791,-,TOC.1T.00388
1,.,gene,59621159,59631039,+,TOC.1T.00389
1,.,gene,59676312,59719372,-,TOC.1T.00390
1,EVM,gene,59739543,59739860,-,TOC.1T.00391
1,EVM,gene,59742404,59762880,-,TOC.1T.00392
1,.,gene,59860663,59900392,-,TOC.1T.00393
1,.,gene,59949013,60115937,-,TOC.1T.00394
1,.,gene,60195877,60268607,-,TOC.1T.00395
1,.,gene,60275339,60282155,-,TOC.1T.00396
1,EVM,gene,60307685,60308358,+,TOC.1T.00397
1,EVM,gene,60311180,60311498,+,TOC.1T.00398
1,EVM,gene,60505012,60505412,+,TOC.1T.00399
1,.,gene,60673327,60742292,-,TOC.1T.00400
1,EVM,gene,60759164,60759838,-,TOC.1T.00401
1,EVM,gene,60760086,60760394,-,TOC.1T.00402
1,.,gene,60782632,60837101,-,TOC.1T.00403
1,EVM,gene,60794786,60795118,-,TOC.1T.00404
1,EVM,gene,60910214,60910528,-,TOC.1T.00405
1,EVM,gene,60912342,61021978,-,TOC.1T.00406
1,.,gene,61022638,61029455,+,TOC.1T.00407
1,.,gene,61051500,61061759,-,TOC.1T.00408
1,EVM,gene,61337557,61342226,-,TOC.1T.00409
1,EVM,gene,61372859,61376654,-,TOC.1T.00410
1,EVM,gene,61400839,61401156,-,TOC.1T.00411
1,EVM,gene,61401573,61402000,-,TOC.1T.00412
1,EVM,gene,61402303,61403004,-,TOC.1T.00413
1,.,gene,61443208,61485659,-,TOC.1T.00414
1,EVM,gene,61486143,61580700,+,TOC.1T.00415
1,EVM,gene,61585192,61590364,+,TOC.1T.00416
1,.,gene,61744456,61758341,-,TOC.1T.00417
1,.,gene,61764910,61776849,+,TOC.1T.00418
1,.,gene,61854077,61876486,+,TOC.1T.00419
1,EVM,gene,61903289,61966830,+,TOC.1T.00420
1,EVM,gene,61967064,61970465,+,TOC.1T.00421
1,EVM,gene,62070724,62323567,+,TOC.1T.00422
1,.,gene,62384022,62405101,-,TOC.1T.00423
1,.,gene,62417397,62577487,-,TOC.1T.00424
1,.,gene,62639972,62827017,-,TOC.1T.00425
1,.,gene,62857380,62939499,-,TOC.1T.00426
1,EVM,gene,63086967,63087256,-,TOC.1T.00427
1,.,gene,63135294,63137160,-,TOC.1T.00428
1,.,gene,63153344,63156884,+,TOC.1T.00429
1,.,gene,63378036,63499220,-,TOC.1T.00430
1,EVM,gene,63665476,63665925,+,TOC.1T.00431
1,EVM,gene,63665959,63667281,+,TOC.1T.00432
1,EVM,gene,63667590,63670061,+,TOC.1T.00433
1,EVM,gene,64506299,64506991,+,TOC.1T.00434
1,.,gene,64712664,64713379,-,TOC.1T.00435
1,EVM,gene,64901799,64911355,-,TOC.1T.00436
1,.,gene,64961116,64975802,+,TOC.1T.00437
1,.,gene,64999486,65009018,-,TOC.1T.00438
1,.,gene,65065370,65253673,-,TOC.1T.00439
1,.,gene,65306654,65311767,+,TOC.1T.00440
1,.,gene,65316441,65322901,+,TOC.1T.00441
1,.,gene,65321278,65328859,-,TOC.1T.00442
1,EVM,gene,65338532,65338915,-,TOC.1T.00443
1,EVM,gene,65341220,65359595,-,TOC.1T.00444
1,EVM,gene,65385753,65403852,+,TOC.1T.00445
1,.,gene,65427230,65429960,+,TOC.1T.00446
1,EVM,gene,65647461,65864854,+,TOC.1T.00447
1,.,gene,65864974,65866134,+,TOC.1T.00448
1,EVM,gene,65954822,65955036,-,TOC.1T.00449
1,.,gene,66115967,66176543,-,TOC.1T.00450
1,EVM,gene,66236296,66236642,-,TOC.1T.00451
1,EVM,gene,66426012,66426317,+,TOC.1T.00452
1,EVM,gene,66428569,66428934,-,TOC.1T.00453
1,EVM,gene,66432133,66432483,+,TOC.1T.00454
1,EVM,gene,66473696,66474022,-,TOC.1T.00455
1,EVM,gene,66478032,66479243,+,TOC.1T.00456
1,EVM,gene,66479300,66480262,+,TOC.1T.00457
1,EVM,gene,66498458,66498775,+,TOC.1T.00458
1,EVM,gene,66514796,66515104,-,TOC.1T.00459
1,EVM,gene,66540462,66540773,+,TOC.1T.00460
1,EVM,gene,66661466,66661915,+,TOC.1T.00461
1,EVM,gene,66701159,66701357,-,TOC.1T.00462
1,EVM,gene,66990200,66990772,+,TOC.1T.00463
1,EVM,gene,67118796,67119230,-,TOC.1T.00464
1,.,gene,67120116,67206742,-,TOC.1T.00465
1,.,gene,67479040,67482889,-,TOC.1T.00466
1,.,gene,68170801,68186980,-,TOC.1T.00467
1,.,gene,69698750,69727172,+,TOC.1T.00468
1,.,gene,69827677,69842212,+,TOC.1T.00469
1,.,gene,69846891,69855312,-,TOC.1T.00470
1,.,gene,69877159,69891570,-,TOC.1T.00471
1,.,gene,69949932,70059930,+,TOC.1T.00472
1,.,gene,70915274,70929625,-,TOC.1T.00473
1,.,gene,71008279,71011304,+,TOC.1T.00474
1,.,gene,71099872,71151570,-,TOC.1T.00475
1,.,gene,71179998,71215848,-,TOC.1T.00476
1,.,gene,71219168,71310872,-,TOC.1T.00477
1,.,gene,71317765,71319234,-,TOC.1T.00478
1,.,gene,71371388,71393236,+,TOC.1T.00479
1,EVM,gene,71393803,71394165,+,TOC.1T.00480
1,EVM,gene,71966144,71966494,+,TOC.1T.00481
1,EVM,gene,72164323,72165435,-,TOC.1T.00482
1,EVM,gene,73352222,73352433,+,TOC.1T.00483
1,.,gene,73358241,73363158,+,TOC.1T.00484
1,EVM,gene,73488941,73524263,+,TOC.1T.00485
1,.,gene,73722341,73723055,-,TOC.1T.00486
1,.,gene,74082550,74132423,-,TOC.1T.00487
1,.,gene,74148969,74191328,-,TOC.1T.00488
1,.,gene,74229742,74327102,-,TOC.1T.00489
1,.,gene,74339824,74342922,-,TOC.1T.00490
1,.,gene,74371624,74723965,-,TOC.1T.00491
1,EVM,gene,74998196,74998969,-,TOC.1T.00492
1,EVM,gene,75004519,75004890,-,TOC.1T.00493
1,EVM,gene,76607946,76608263,-,TOC.1T.00494
1,.,gene,76609920,76671076,-,TOC.1T.00495
1,.,gene,76709620,76761541,-,TOC.1T.00496
